artist,song
21 savage,bank account
21 savage,no heart
21 savage,x
21 savage,red opps
21 savage,issa
kodak black,roll in peace
kodak black,transportin
kodak black,codeine dreaming
kodak black,tunnel vision
kodak black,patty cake
playboi carti,magnolia
playboi carti,wokeuplikethis
playboi carti,dothatshit
playboi carti,new choppa
playboi carti,lookin
xxxtentacion,jocelyn flores
xxxtentacion,fuck love
xxxtentacion,everybody dies in their nightmares
xxxtentacion,look at me
xxxtentacion,looking for a star
trippie redd,love scars you hurt me
trippie redd,poles1469
trippie redd,bust down love scars 3 
trippie redd,dark knight dummo
trippie redd,romeo and juliet
lil yachty,1night
lil yachty,forever young
lil yachty,minnesota
lil yachty,wanna be us
lil yachty,peek a boo
lil uzi vert,xo tour llif3
lil uzi vert,the way life goes
lil uzi vert,sauce it up
lil uzi vert,money longer
lil uzi vert,do what I want
young thug,relationship
young thug,stoner
young thug,wyclef jean
young thug,digits
young thug,best friend
travis scott,butterfly effect
travis scott,goosebumps
travis scott,beibs in the trap
travis scott,90210
travis scott,antidote
lil pump,gucci gang
lil pump,molly
lil pump,boss
lil pump,flex like ouu
lil pump,d rose
migos,look at my dab
migos,slippery
migos,bad and boujee
migos,t shirt
migos,versace
future,mask off
future,fuck up some commas
future,where ya at
future,low life
future,march madness
rich homie quan,flex ooh ooh ooh
rich homie quan,gamble
rich homie quan,type of way
rich homie quan,walk thru
rich homie quan,replay
fetty wap,679
fetty wap,trap queen
fetty wap,my way
fetty wap,again
fetty wap,rgf island
desiigner,timmy turner
desiigner,panda
desiigner,liife
desiigner,outlet
desiigner,up
