,artist,song,artists,songs,#_words,#_unique_words,#_filter_words,#_big_words,avg_word_len,filter_avg_word_len,big_avg_word_len
0,wu-tang clan,cream,wu-tang-clan,cream,679,309,252,256,4.741100324,5.107142857,5.12109375
1,wu-tang clan,gravel pit,wu-tang-clan,gravel-pit,711,361,308,311,4.825484765,5.13961039,5.144694534
2,wu-tang clan,triumph,wu-tang-clan,triumph,1027,605,549,555,5.565289256,5.81420765,5.809009009
3,wu-tang clan,bring da ruckus,wu-tang-clan,bring-da-ruckus,616,269,223,225,5.022304833,5.461883408,5.466666667
4,wu-tang clan,protect ya neck,wu-tang-clan,protect-ya-neck,66,35,24,26,4.2,4.583333333,4.692307692
5,2pac,how do you want it,2pac,how-do-you-want-it,595,236,182,184,4.559322034,5.038461538,5.038043478
6,2pac,keep ya head up,2pac,keep-ya-head-up,820,325,258,264,4.538461538,4.899224806,4.912878788
7,2pac,I get around,2pac,I-get-around,669,259,200,205,4.501930502,4.925,4.926829268
8,2pac,dear mama,2pac,dear-mama,679,268,215,221,4.78358209,5.186046512,5.199095023
9,2pac,california love,2pac,california-love,554,223,173,178,4.766816143,5.23699422,5.241573034
10,krs one,mcs act like they dont know,krs-one,mcs-act-like-they-dont-know,577,302,245,250,4.784768212,5.146938776,5.164
11,krs one,sound of da police,krs-one,sound-of-da-police,561,224,164,171,4.59375,5.12804878,5.122807018
12,krs one,step into a world raptures delight,krs-one,step-into-a-world-raptures-delight,531,269,216,220,4.910780669,5.375,5.368181818
13,krs one,rappaz r n dainja,krs-one,rappaz-r-n-dainja,447,202,153,156,4.737623762,5.281045752,5.288461538
14,krs one,a friend,krs-one,a-friend,427,250,202,203,5.064,5.599009901,5.596059113
15,the notorious big,juicy,the-notorious-big,juicy,749,323,272,274,4.904024768,5.264705882,5.262773723
16,the notorious big,big poppa,the-notorious-big,big-poppa,692,274,216,222,4.682481752,5.092592593,5.108108108
17,the notorious big,hypnotize,the-notorious-big,hypnotize,681,274,226,232,4.770072993,5.115044248,5.120689655
18,the notorious big,mo money mo problems,the-notorious-big,mo-money-mo-problems,534,256,208,212,4.4375,4.774038462,4.778301887
19,the notorious big,going back to cali,the-notorious-big,going-back-to-cali,621,290,236,241,4.593103448,4.936440678,4.954356846
20,a tribe called quest,electric relaxation,a-tribe-called-quest,electric-relaxation,532,251,192,196,4.438247012,4.875,4.892857143
21,a tribe called quest,check the rhime,a-tribe-called-quest,check-the-rhime,573,260,207,212,4.653846154,5.062801932,5.075471698
22,a tribe called quest,award tour,a-tribe-called-quest,award-tour,666,274,218,221,4.781021898,5.26146789,5.257918552
23,a tribe called quest,scenario,a-tribe-called-quest,scenario,806,383,317,323,4.908616188,5.258675079,5.27244582
24,a tribe called quest,buggin out,a-tribe-called-quest,buggin-out,773,308,243,251,4.827922078,5.259259259,5.274900398
25,bone thugs n harmony,tha crossroads,bone-thugs-n-harmony,tha-crossroads,735,236,182,187,4.449152542,4.879120879,4.898395722
26,bone thugs n harmony,1st of tha month,bone-thugs-n-harmony,1st-of-tha-month,861,310,256,261,4.519354839,4.81640625,4.827586207
27,bone thugs n harmony,thuggish ruggish bone,bone-thugs-n-harmony,thuggish-ruggish-bone,627,266,214,219,4.733082707,5.102803738,5.118721461
28,bone thugs n harmony,foe tha love of,bone-thugs-n-harmony,foe-tha-love-of,948,354,294,300,4.875706215,5.214285714,5.216666667
29,the notorious big,notorious thugs,the-notorious-big,notorious-thugs,1039,434,366,370,4.894009217,5.218579235,5.237837838
30,yasiin bey,ms fat booty,yasiin-bey,ms-fat-booty,832,385,324,328,4.981818182,5.336419753,5.335365854
31,yasiin bey,mathematics,yasiin-bey,mathematics,712,368,306,312,5.269021739,5.699346405,5.692307692
32,yasiin bey,oh no,yasiin-bey,oh-no,636,336,276,279,4.99702381,5.398550725,5.405017921
33,yasiin bey,auditorium,yasiin-bey,auditorium,563,286,236,242,4.874125874,5.241525424,5.247933884
